"Company Name","Latest Reported Year","Latest S1 (tCO2e)","Latest S2 (tCO2e)","Base Year","Base S1+S2 (tCO2e)","% Reduction Achieved","Scope 3 Status","Recent Update","BD Signals","Source URL","Confidence"
"MinterEllison Services Pty Limited","","","","","","","Climate Active reporting; financial year reporting","SBTi committed; published thought leadership on mandatory climate reporting; ASRS-aligned reporting practice; net zero commitment","Significant BD risk for own SBTi compliance given firm publishes legal advisory on the topic; Climate Active certified — reform exposure","","Low"
"Moose Toys","","","","","","","Net zero by 2040 (S1+S2+S3); SBTi validation in process","Target submitted to SBTi via thinkstep-anz; complex global supply chain (Asia manufacturing); pressure from licensors (Disney/Mattel) for emissions data; circular packaging redesign underway","Multinational toy company subject to retailer (Walmart/Target US) Scope 3 supplier engagement requirements; SBTi Corporate Net-Zero Standard V2 changes will affect validation pathway","https://toybook.com/moose-toys-net-zero-2040/","Low"
"NBN Co Limited","FY24","5000","269000","FY21","329000","16.7","Selected Scope 3 (cats 1-3 5-7 9 11) = 1308 ktCO2e FY24 (vs 1332 ktCO2e FY21); spend-based methodology with Exiobase factors; no Scope 3 target validated","Reasonable assurance over Total S1+S2 (operational/location-based) by PwC FY24; renewable energy 22.4% of total purchases FY24; emissions intensity 4.88 kgCO2e/TB (market-based) — 45% reduction from FY21","Large government business enterprise; only S1+S2 location-based assured at reasonable level (market-based at limited); 100% renewable target pending; significant S3 emissions intensity uplift from spend-based methodology potentially overstated","https://www.nbnco.com.au/content/dam/nbn/documents/about-nbn/reports/sustainability-reports/2024-nbn-sustainability-data-book.pdf.coredownload.inline.pdf","High"
"Nando's Australia Pty Ltd","","","","2019","","","Parent Nando's Chickenland Ltd: 100% S1+S2 absolute reduction by 2030 from 2019 base; 42% Scope 3 per meal by 2030; SBTi validated","UK-headquartered parent group sets targets; Australian operations subject to global commitments; solar panel rollout in restaurants; net zero 2050 ambition","Targets cascaded from UK parent — Australian-specific emissions baseline not separately disclosed; 2030 100% S1+S2 reduction is exceptionally ambitious and unlikely achievable through reductions alone (offsets likely)","https://ditchcarbon.com/organizations/nandos","Low"
"Northline Partnership","","","","","","","","No public sustainability report identified for the South Australia-based supply chain/logistics provider","Private logistics company; SBTi committed per prior dataset but no detailed FY24/FY25 emissions disclosure; Scope 1 freight emissions likely largest source","","Low"
"OCS Group Australia","","","","","","","","No Australian-specific emissions disclosure; UK parent OCS Group has FY24 sustainability disclosures (global) but AU subsidiary not separately reported","Facilities management/cleaning services; UK parent has SBTi commitment; Australian operations subject to mandatory climate reporting from 2025/2026 depending on size threshold","","Low"
"Pact Group","FY24","","","","","","NGER reportable; submitted annual report October 2024; engaged third-party for limited assurance on WHSE metrics","Taken private by Bennamon (Geminder family) in 2024 via scheme of arrangement; ASX delisted; large packaging/plastics emitter under Safeguard Mechanism scope; circular economy and recycling positioning","Taken private — reduced disclosure obligations; SBTi commitment status uncertain post-privatisation; Australian Recycled Plastics JV with Cleanaway; Materials Handling & Pooling divestment (Crates) completed","https://pactgroup.com/wp-content/uploads/2024/10/20240815-ASX-Announcement-Appendix-4E-and-2024-Consolidated-Financial-Report.pdf","Low"
"Palladium Group Holdings Pty Ltd","","","","","","","","No detailed public emissions disclosure found for the international development consultancy; sustainability content focused on client work not own footprint","Private international development/impact firm; engages in Nature and Climate Forum thought leadership (Nov 2024); own emissions footprint not publicly disclosed","","Low"
"Partners in Performance","","","","","","","","No public sustainability or emissions report identified for the management consultancy","Private management consultancy; SBTi committed per prior dataset; emissions likely dominated by travel (consultant) and office; no FY24/FY25 disclosure","","Low"
"People First Bank","FY24","","","","","","SBTi validated 2030 targets covering S1 S2 and financed emissions aligned to 1.5°C; financed emissions methodology developing","Heritage and People's Choice merged March 2023 to form People First Bank (rebrand March 2024); Climate Active carbon neutral via 100% ACCUs; targeting 100% renewable electricity in branches by 2030","Customer-owned mutual with SBTi targets validated post-merger; ACCU-based Climate Active certification — exposed to reform; financed emissions methodology will dominate future disclosures; total assets $24.5bn","https://www.heritage.com.au/about/sustainability","Medium"
"Princess Polly","2024","","","2020","","","Scope 3 intensity reduction 18% by end-2024 vs 2020 baseline (52% per unit by 2030 target); Scope 1+2 progress not separately reported","SBTi validated targets in 2023: 42% absolute S1+S2 by 2030 from 2020; 52% S3 per unit by 2030; 100% renewable electricity annually through 2030; solar installed at AU HQ","Ultrafast fashion model exposed to greenwashing scrutiny (Conversation article Mar 2026 questioning 'sustainable' credentials); only 18% S3 intensity reduction by 2024 vs 52% required by 2030 — significant gap; not reporting S1+S2 progress","https://us.princesspolly.com/pages/sustainability-environment","Medium"
"Quad Services Pty Ltd","","","","","","","","No public emissions disclosure for the Australian commercial cleaning/facilities services company","Private facilities services; SBTi committed per prior dataset; emissions likely Scope 1 (vehicles) and Scope 3 (chemicals/supplies); no FY24 disclosure found","","Low"
"Robert Bird Group","2021","","","2021","","","SBTi validated near-term: 42% absolute S1+S2 by 2030 from 2021 base; 100% renewable electricity by 2030 (from 0% in 2021); long-term net-zero by 2050 across value chain","Surbana Jurong Group subsidiary; SBTi near-term targets validated 2024; member of ConcreteZero and SteelZero; proprietary embodied carbon tool 'Magpie'","Engineering consultancy with significant influence on client embodied carbon decisions; SBTi targets recent (2024) — limited progress data available; FY24 verified emissions not publicly disclosed","https://www.robertbird.com/rbg-news/robert-bird-group-commits-to-science-based-targets-initiative-for-climate-action/","Medium"
"SecureCorp Pty Ltd","","","","","","","","No public emissions disclosure found for the security services provider","Private security services company; SBTi committed per prior dataset; no FY24/FY25 disclosure","","Low"
"SG Fleet","FY24","","","FY23","","","Targets focused on emission intensity reduction 33% by 2030 (S1+S2+S3 tCO2e/FTE) from FY23 base; net zero S1+S2 by FY30","Carbon neutral status maintained; SG Fleet ESG Statement 2025 published; vehicle shuttle bus rollout at HQ FY24; eStart EV transition product for clients","Intensity-based not absolute target (per FTE) — material limitation; major BD opportunity as fleet electrification accelerates; environmental policy updated November 2024","https://www.sgfleet.com/docs/uklibraries/policies-and-statements/sg_fleet_group_environmental_policy.pdf","Medium"
"SMEC ANZ","","","","","","","","Annual Review 2024 published online; sustainability content focused on client projects not own operations footprint, Surbana Jurong subsidiary; aligned with group Sustainability Charter; no detailed AU-specific emissions disclosure in FY24 Annual Review","Engineering consultancy with significant project portfolio (solar 6.4GW); own operational emissions footprint not separately disclosed by ANZ entity; group-level disclosures may apply","https://annualreview2024.smec.com/","Low"
"Soho Flordis International Pty Ltd","2023","","","","","","Sustainability Report 2023 published July 2024 covering GHG inventory but specific tCO2e values require detailed verification from PDF","SFI Health (rebranded); majority owned by Soho Global Health (Indonesia listed); sustainability report not independently assured but verified by management and external consultants","Indonesian parent listed entity; complex multi-jurisdictional emissions inventory; report not externally assured (significant disclosure quality limitation)","https://www.sfihealth.com/wp-content/uploads/2024/07/SFI-Health-Sustainability-Report-2023.pdf","Low"
"South East Water","FY25","","","2011-2016 avg","41744","","Water corporations not currently obliged to report Scope 3 emissions; disclosed in Annual Report 2024-25 Table 20 but no target set","Targeting offsetting S1 emissions by 2027-28 and net-zero S1+S2 by 2030; methane/N2O direct monitoring program at Mt Martha and Lang Lang water recycling plants; renewable energy via Cherry Tree Wind LGC PPA and SEW RECs","Methane/N2O direct monitoring program demonstrates leadership; aiming for net zero S1+S2 by 2030 (4 years ahead of govt obligations); Statement of Obligations (Emissions Reduction) regulatory framework","https://southeastwater.com.au/content/dam/web/about-us/our-strategy/reports-strategies-and-plans/South%20East%20Water%20Annual%20Report%202024-25.pdf","Medium"
"Special Broadcasting Service","FY24","46","3788","FY22","3834","","SBTi validated April 2025: 42% reduction in S1+S2+S3 emissions by FY30 from FY22 base; net zero S1+S2+S3 by FY45","First Australian broadcaster to have both near and long-term SBTi-validated targets (April 2025); 100% renewable energy via 10-year PPA since FY23; albert Toolkit production carbon measurement on Insight, The Cook Up, Going Places","Achieved Net Zero on S1+S2 (via 100% renewable + offsets) in 2023 — SBTi validation now formalises this; Scope 3 Australian dataset starting to be shared with Scope3 advertising platform; partnership with Sustainable Screens Australia","https://www.sbs.com.au/aboutus/2025/04/14/sbs-becomes-first-australian-broadcaster-to-have-near-and-long-term-carbon-reduction-targets-validated-by-the-sbti/","Medium"
"SunRice (RiceGrowers Limited)","CY24","11300","71100","FY23","79400","","Scope 3 = 18900 tCO2e CY24 reported (likely incomplete — agricultural FLAG emissions typically dominate); 54.6% S3 absolute reduction by FY33 + 39.4% S3 FLAG reduction by FY33","SBTi validated targets covering 54.6% S1+S2 by FY33 from FY23 base; net zero by FY50; 90% S1+S2 long-term; Savourlife acquired August 2024","Acquired Savourlife August 2024 — baseline restatement likely needed; reported emissions notably higher than prior year (+5.3% S1+S2) indicating growth outpacing decarbonisation; agricultural FLAG emissions data likely understated in S3","https://ditchcarbon.com/organizations/sunrice","Medium"
"Tassal Group Limited","2023","","","","","","Latest public Sustainability Report 2023 (FY23) — 2024 sustainability report not yet released; Cooke Inc-owned since 2022","Cooke Inc-owned (private since Nov 2022 takeover); sustainability reporting since 2011; no FY24 sustainability report released publicly","Privatisation in 2022 — reduced disclosure obligations; FY24 sustainability report not yet released publicly; SBTi validated targets at risk of slipping given limited disclosure","https://tassalgroup.com.au/sustainability/","Low"
"Teachers Mutual Bank","FY24","","","","","","Net profit FY24 $24.5m; B Corp certified; RIAA Responsible Investment Leader (3rd consecutive year)","Hiver retail brand discontinued during FY24 (announced Oct 2024); EV fleet transition (12 of 34 EVs purchased FY24); merger talks with Australian Mutual Bank announced December 2024","Customer-owned mutual exploring merger with Australian Mutual Bank (Dec 2024) — baseline restatement likely; new CEO Anthony Hughes from Westpac Oct 2023 leading risk transformation; CEO transition may pause SBTi progress","https://www.tmbl.com.au/news-centre/media-releases/2024/tmbl-announces-annual-result","Low"
"The Arnotts Group","FY25","","","FY22","","","Net zero S1+S2 by 2040; net zero S3 by 2050; FY26 materiality assessment planned for S3; FY25: 14% AU electricity from solar + PPAs","Reassessing FY22 baseline emissions to reflect expanded operations (Mother Earth NZ, Freedom Foods, Sam's Pantry, Messy Monkeys acquisitions); Huntingwood Battery Storage System fully operational FY25","Major baseline restatement underway for FY26 report — material methodology change; CleanPeak Energy partnership for 100% renewable electricity at Huntingwood by 2029; SBTi commitment but no validated targets yet","https://downloads.ctfassets.net/qifm0zg3y057/4qEKco5LdJKQmWITWDuv9D/db866ef596e1c19e8fe38b5cc5321610/The_Arnotts_Group_FY25_Sustainability_Report.pdf","Medium"
"Timberlink Australia | New Zealand","FY23","","","FY18","","","SBTi validated 53% S1+S2 per m3 by 2030 from FY18; 20% S3 per m3 by 2030; biogenic emissions and removals included","FY23 Sustainability Update published October 2024; on track to achieving 53% reduction by 2030; first forestry/paper products company in Australia to validate SBTi targets","Intensity-based targets (per m3) not absolute — material limitation; biogenic emissions included in boundary makes target unusual; FY24 sustainability report not yet released (FY23 latest)","https://www.timberlinkaustralia.com.au/app/uploads/2024/10/Timberlink-FY23-Sustainability-Update.pdf","Medium"
"Waste Services Group Pty Ltd","","","","","","","","No public sustainability report or emissions disclosure identified for the Australian waste services provider (Sky Recycling/Waste Services Group)","Private waste services company; SBTi committed per prior dataset; significant Scope 1 emissions (landfill methane and fleet) likely; no FY24 disclosure","","Low"
"Yarra Valley Water","FY24","3371","7176","FY12-FY16 avg","32004","67","SBTi-aligned Scope 3 target: 67% reduction by 2030 from FY24 baseline of 186979 tCO2e; revised Scope 3 inventory FY24 to align with GHG Protocol and industry standards","100% renewable electricity from 1 July 2025 (4 years ahead of govt obligations); ReWaste food waste to energy facility at Wollert (biogas via anaerobic digestion); second food waste facility nearing completion (~150 tonnes/day, 33000 kWh renewable energy generation 35% of energy requirements)","~67% reduction achieved S1+S2 vs FY12-FY16 baseline; FY24 Scope 3 baseline restated and significantly higher (186979 tCO2e) — major methodology change; FY26 net zero S1+S2 reporting expected","https://www.yvw.com.au/about-us/our-strategy/sustainability/our-journey-net-zero","High"
"Zimmermann","2024","","","","","","Sustainability Report 2024 published; SBTi commitment but specific quantitative target details not validated yet (committed status); Fashion Pact signatory since March 2021","Collective Virtual Power Purchase Agreement (CVPPA) participation for renewable energy investment; APCO Annual Report shows packaging sustainability journey 'at the start'; ZDHC Roadmap to Zero signatory","Italian PE-backed (Advent International acquired majority 2021); SBTi target validation status unclear from public reports; APCO packaging score at lowest level — operational sustainability lag despite marketing positioning","https://www.zimmermann.com/media/pdfs/ZIMMERMANN_Sustainability_Report_2024.pdf","Low"
